subdistrict,city,land_size_m2,building_size_m2,price_mio,certificate,bathroom,maid_bedroom,carport,maid_bathroom,floor_level,garage,kitchen,bedroom,living_room,dining_room,property_type,furniture,voltage_watt,property_condition,house_facing,water_source,corner_property,road_width,region_type
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Ciputat,Tangerang Selatan,140.0,200.0,2700.0,Other,3,1,2,1,2,0,1,4,1,1,House Type 200,Semi Furnished,2200.0,New,Northwest,Groundwater,False,5.0,city
Cipondoh,Kota Tangerang,180.0,224.0,925.0,SHM,2,0,1,0,0,0,1,5,1,0,House Type 300,Unfurnished,1840.0,Renovated,Northwest,Groundwater,False,6.0,city
Ciputat,Tangerang Selatan,127.0,250.0,2400.0,SHM,3,1,2,1,1,0,1,3,1,0,House Type 300,Semi Furnished,3500.0,Renovated,North,Groundwater,False,5.5,city
Ciputat,Tangerang Selatan,127.0,100.0,1450.0,Other,2,0,2,0,1,0,1,3,1,0,House Type 120,Unfurnished,1840.0,Renovated,Northeast,Groundwater,False,4.5,city
Kelapa Dua,Kabupaten Tangerang,308.0,600.0,5990.0,SHM,7,2,2,0,0,0,1,5,1,0,House Type >300,Furnished,41500.0,New,North,Groundwater,False,5.0,regency
Ciputat,Tangerang Selatan,137.0,110.0,1450.0,SHM,2,0,0,0,0,2,1,3,1,0,House Type 120,Unfurnished,1300.0,New,Northeast,Groundwater,False,4.0,city
Pancoran Mas,Depok,72.0,34.0,381.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 36,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Tanjung Priok,Jakarta Utara,84.0,100.0,2900.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,North,Groundwater,False,4.5,city
Penjaringan,Jakarta Utara,111.0,235.0,4500.0,HGB,3,0,2,0,3.5,0,1,3,1,0,House Type 300,Furnished,7700.0,New,South,Groundwater,False,13.8,city
Penjaringan,Jakarta Utara,136.0,192.0,5700.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 200,Furnished,4400.0,Renovated,South,Groundwater,False,5.0,city
Duren Sawit,Jakarta Timur,100.0,44.8,72.0,SHM,1,0,0,0,0,0,1,2,1,0,House Type >300,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Serpong,Tangerang Selatan,72.0,36.0,600.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 36,Unfurnished,1480.0,Renovated,North,Groundwater,False,5.1,city
Kemayoran,Jakarta Pusat,40.0,80.0,1450.0,SHM,2,0,0,0,2,1,1,4,1,0,House Type 120,Unfurnished,1300.0,New,Northeast,Groundwater,False,5.0,city
Penjaringan,Jakarta Utara,402.0,600.0,17000.0,SHM,4,1,2,1,2,2,1,4,1,0,House Type >300,Furnished,26000.0,Renovated,East,Groundwater,False,5.0,city
Penjaringan,Jakarta Utara,576.0,800.0,18000.0,HGB,5,1,4,1,2,3+,1,4,1,0,House Type >300,Furnished,10650.0,Well Maintained,Northeast,PAM/PDAM,False,5.5,city
Serpong Utara,Tangerang Selatan,90.0,70.0,1600.0,Other,1,1,2,1,1,0,1,2,1,1,House Type 70,Semi Furnished,2200.0,New,North,Groundwater,False,4.0,city
Pesanggrahan,Jakarta Selatan,77.0,60.0,2400.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 60,Unfurnished,4400.0,Well Maintained,East,Groundwater,False,5.0,city
Pesanggrahan,Jakarta Selatan,225.0,350.0,6500.0,SHM,6,1,3,1,2.5,3+,1,5,1,0,House Type >300,Unfurnished,10600.0,New,North,Groundwater,False,5.0,city
Kemayoran,Jakarta Pusat,65.0,150.0,1750.0,SHM,4,0,1,0,3,0,1,3,1,0,House Type 200,Furnished,2200.0,Renovated,West,Groundwater,False,4.5,city
Cempaka Putih,Jakarta Pusat,139.0,200.0,4500.0,SHM,10,0,0,0,3,0,1,9+,1,0,House Type 200,Unfurnished,7700.0,New,Northeast,Groundwater,False,5.0,city
Cempaka Putih,Jakarta Pusat,42.0,72.0,1100.0,SHM,2,0,1,0,2,0,1,3,1,0,House Type 120,Furnished,2240.0,Renovated,Northeast,Groundwater,False,5.4,city
Pesanggrahan,Jakarta Selatan,109.0,75.0,675.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,2020.0,Renovated,North,Groundwater,False,5.1,city
Menteng,Jakarta Pusat,474.0,1388.0,67000.0,SHM,4,3,2,3,3,3+,2,4,1,1,House Type >300,Furnished,20000.0,New,Northeast,Groundwater,False,5.5,city
Cengkareng,Jakarta Barat,56.0,100.0,1700.0,SHM,2,1,0,1,2,0,1,2,1,0,House Type 120,Unfurnished,1300.0,Renovated,North,PAM/PDAM,False,3.5,city
Cakung,Jakarta Timur,507.0,375.0,3050.0,SHM,3,0,1,0,1.5,0,1,3,1,0,House Type >300,Semi Furnished,3080.0,New,North,Groundwater,False,5.0,city
Koja,Jakarta Utara,510.0,382.0,5300.0,SHM,3,1,2,0,0,3+,1,6,1,0,House Type >300,Semi Furnished,4400.0,Renovated,North,PAM/PDAM,False,5.0,city
Tanah Sareal,Kota Bogor,206.0,320.0,592.0,SHM,2,0,1,0,0,0,1,5,1,0,House Type >300,Unfurnished,1400.0,Renovated,North,Groundwater,False,5.1,city
Limo,Depok,84.0,92.0,780.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,2020.0,Renovated,Northeast,Groundwater,False,6.2,city
Pamulang,Tangerang Selatan,72.0,50.0,586.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 54,Semi Furnished,1480.0,Renovated,North,Groundwater,False,5.1,city
Pondok Gede,Kota Bekasi,94.0,180.0,900.0,SHM,2,0,1,0,0,0,1,5,1,0,House Type 200,Unfurnished,1840.0,Renovated,Northwest,Groundwater,False,6.0,city
Tambora,Jakarta Barat,123.0,97.0,1330.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 120,Unfurnished,3520.0,New,Northeast,Groundwater,False,4.5,city
Medan Satria,Kota Bekasi,120.0,90.0,915.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,1300.0,Renovated,Northeast,Groundwater,False,4.7,city
Cibitung,Kabupaten Bekasi,84.0,60.0,595.0,HGB,1,0,1,0,1,0,1,2,1,0,House Type 60,Semi Furnished,1300.0,Renovated,North,PAM/PDAM,False,6.0,regency
Cileungsi,Kabupaten Bogor,333.0,240.0,6800.0,SHM,4,0,0,0,0,0,1,4,1,0,House Type 300,Semi Furnished,4400.0,New,Northeast,Groundwater,False,5.0,regency
Tanjung Priok,Jakarta Utara,105.0,150.0,2800.0,SHM,2,1,2,1,2,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,Renovated,East,Groundwater,False,5.0,city
Cempaka Putih,Jakarta Pusat,260.0,300.0,6000.0,SHM,4,1,2,1,0,2,1,4,1,0,House Type 300,Furnished,7700.0,Well Maintained,East,Groundwater,False,5.0,city
Serpong,Tangerang Selatan,60.0,53.0,1400.0,Other,2,0,1,0,0,0,1,2,1,0,House Type 54,Semi Furnished,2200.0,Renovated,Northwest,Groundwater,False,4.5,city
Serpong,Tangerang Selatan,40.0,45.0,1500.0,Other,1,0,1,0,1,0,1,1,1,0,House Type 45,Semi Furnished,2200.0,Well Maintained,North,Groundwater,False,4.5,city
Tanjung Priok,Jakarta Utara,407.0,700.0,12500.0,SHM,2,1,2,1,0,0,1,4,1,0,House Type >300,Semi Furnished,5500.0,Renovated,Northeast,PAM/PDAM,True,5.0,city
Grogol Petamburan,Jakarta Barat,72.0,105.0,2000.0,SHM,2,1,1,0,0,0,1,3,1,0,House Type 120,Furnished,3500.0,Renovated,Northwest,Groundwater,False,5.0,city
Cengkareng,Jakarta Barat,160.0,256.0,5300.0,SHM,3,1,2,1,2.5,0,1,3,1,0,House Type 300,Semi Furnished,5500.0,New,South,Groundwater,False,4.5,city
Grogol Petamburan,Jakarta Barat,249.0,415.0,6200.0,SHM,3,0,2,0,0,0,1,4,1,0,House Type >300,Furnished,16500.0,Renovated,North,Groundwater,False,5.0,city
Cempaka Putih,Jakarta Pusat,32.0,60.0,580.0,SHM,1,0,0,0,2,0,1,2,1,0,House Type 60,Unfurnished,2200.0,Well Maintained,South,Groundwater,False,6.0,city
Penjaringan,Jakarta Utara,150.0,200.0,5800.0,Other,2,1,2,1,2,0,1,3,1,0,House Type 200,Semi Furnished,5500.0,New,Southwest,Groundwater,False,6.0,city
Penjaringan,Jakarta Utara,150.0,200.0,5700.0,Other,3,1,0,1,2,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,New,North,Groundwater,False,5.0,city
Penjaringan,Jakarta Utara,200.0,500.0,8600.0,SHM,5,1,2,1,3,2,1,2,1,0,House Type >300,Semi Furnished,5500.0,Renovated,West,Groundwater,False,7.0,city
Penjaringan,Jakarta Utara,100.0,225.0,4500.0,SHM,3,0,1,0,3,0,1,5,1,0,House Type 300,Unfurnished,5500.0,New,Northeast,Groundwater,False,13.5,city
Penjaringan,Jakarta Utara,120.0,384.0,5200.0,SHM,3,0,0,0,3.5,0,1,6,1,0,House Type >300,Semi Furnished,6600.0,Well Maintained,North,Groundwater,False,4.5,city
Penjaringan,Jakarta Utara,120.0,244.0,5000.0,SHM,3,1,1,1,3,0,1,4,1,0,House Type 300,Furnished,5500.0,New,South,Groundwater,False,13.0,city
Menteng,Jakarta Pusat,876.0,1400.0,100000.0,SHM,6,2,5,1,0,3+,1,6,1,0,House Type >300,Semi Furnished,10000.0,New,North,Groundwater,False,5.5,city
Cempaka Putih,Jakarta Pusat,74.0,120.0,1700.0,SHM,4,0,2,0,2,0,1,3,1,0,House Type 120,Unfurnished,2240.0,Renovated,Northwest,Groundwater,False,2.5,city
Cinere,Depok,120.0,200.0,2700.0,SHM,4,1,1,1,2,0,1,3,1,0,House Type 200,Unfurnished,2200.0,New,Northwest,Groundwater,False,5.0,city
Pulo Gadung,Jakarta Timur,105.0,155.0,3500.0,SHM,3,1,1,1,2,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,New,Northeast,PAM/PDAM,False,4.5,city
Cempaka Putih,Jakarta Pusat,144.0,350.0,5500.0,SHM,5,1,1,0,3,3+,1,5,1,0,House Type >300,Semi Furnished,2200.0,New,North,PAM/PDAM,False,5.0,city
Tangerang,Kota Tangerang,1345.0,200.0,15000.0,SHM,3,0,4,0,1,0,1,4,1,0,House Type 200,Unfurnished,2200.0,New,North,PAM/PDAM,False,7.5,city
Tanjung Priok,Jakarta Utara,70.0,100.0,2600.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,3500.0,New,Northeast,PAM/PDAM,False,5.5,city
Kelapa Gading,Jakarta Utara,153.0,200.0,5100.0,SHM,3,0,0,0,2,0,1,4,1,0,House Type 200,Semi Furnished,4300.0,Need Renovation,South,PAM/PDAM,False,4.5,city
Tanah Sareal,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Kramat Jati,Jakarta Timur,1061.0,220.0,12000.0,SHM,4,0,0,0,1,0,1,4,1,0,House Type 300,Semi Furnished,10820.0,Well Maintained,South,Groundwater,False,5.3,city
Cakung,Jakarta Timur,105.0,158.0,4000.0,Other,4,1,2,1,3,0,1,3,1,0,House Type 200,Semi Furnished,3820.0,Renovated,North,Groundwater,False,6.0,city
Cilincing,Jakarta Utara,124.0,89.0,1190.0,Other,3,1,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,Northeast,Groundwater,False,5.4,city
Cinere,Depok,78.0,130.0,1500.0,SHM,3,0,1,0,0,0,1,3,1,0,House Type 200,Unfurnished,2460.0,New,South,Groundwater,False,5.0,city
Cilincing,Jakarta Utara,230.0,500.0,4500.0,SHM,5,1,2,0,2.5,2,1,5,1,0,House Type >300,Unfurnished,7700.0,Well Maintained,Northeast,PAM/PDAM,False,7.0,city
Bekasi Timur,Kota Bekasi,1107.0,393.2,5000.0,SHM,4,0,0,0,1,0,1,4,1,0,House Type >300,Semi Furnished,3600.0,Well Maintained,Northeast,Groundwater,False,5.6,city
Medan Satria,Kota Bekasi,144.0,150.0,1900.0,Other,2,0,1,0,2,0,1,4,1,0,House Type 200,Unfurnished,4400.0,Well Maintained,South,PAM/PDAM,False,5.0,city
Cakung,Jakarta Timur,249.0,156.0,3000.0,SHM,3,1,0,1,2,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,New,Northeast,Groundwater,True,4.5,city
Medan Satria,Kota Bekasi,133.0,80.0,1500.0,Other,3,1,2,1,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,South,PAM/PDAM,False,5.0,city
Medan Satria,Kota Bekasi,126.0,80.0,1500.0,HGB,2,1,2,1,2,0,1,2,1,0,House Type 120,Unfurnished,2200.0,New,South,PAM/PDAM,False,5.0,city
Cakung,Jakarta Timur,120.0,90.0,1950.0,Other,3,1,2,1,2,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northeast,PAM/PDAM,False,5.2,city
Cakung,Jakarta Timur,148.0,200.0,2250.0,HGB,3,1,1,1,2,0,1,3,1,0,House Type 200,Semi Furnished,2680.0,Renovated,North,Groundwater,False,5.0,city
Bogor Selatan,Kota Bogor,150.0,75.0,1700.0,SHM,2,0,0,0,2,0,1,2,1,0,House Type 120,Unfurnished,2200.0,Well Maintained,North,PAM/PDAM,True,4.0,city
Kelapa Gading,Jakarta Utara,128.0,188.0,2100.0,SHM,2,0,2,0,2,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,Renovated,South,PAM/PDAM,False,4.5,city
Kalideres,Jakarta Barat,285.0,500.0,5200.0,SHM,5,1,0,1,3,0,1,7,1,0,House Type >300,Semi Furnished,4400.0,New,North,PAM/PDAM,False,5.0,city
Kelapa Gading,Jakarta Utara,90.0,130.0,1470.0,Other,1,0,1,0,1,0,1,2,1,0,House Type 200,Unfurnished,2200.0,Renovated,South,Groundwater,False,4.5,city
Bekasi Utara,Kota Bekasi,162.0,149.0,2550.0,HGB,3,1,1,1,2,1,1,4,1,0,House Type 200,Unfurnished,3300.0,New,South,Groundwater,False,5.5,city
Medan Satria,Kota Bekasi,216.0,175.0,3500.0,Other,3,1,2,1,2,1,1,3,1,0,House Type 200,Unfurnished,2200.0,New,North,PAM/PDAM,False,4.5,city
Medan Satria,Kota Bekasi,245.0,200.0,2600.0,Other,3,1,1,1,2,1,1,3,1,0,House Type 200,Unfurnished,3500.0,Renovated,North,PAM/PDAM,False,5.7,city
Tanah Abang,Jakarta Pusat,222.0,200.0,12000.0,SHM,5,0,0,0,2,0,1,9+,1,0,House Type 200,Unfurnished,1300.0,Renovated,North,Groundwater,False,2.5,city
Bekasi Barat,Kota Bekasi,90.0,75.0,1790.0,HGB,3,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Well Maintained,Northeast,PAM/PDAM,False,4.5,city
Duren Sawit,Jakarta Timur,105.0,102.0,2030.0,HGB,3,0,2,0,0,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,Northwest,PAM/PDAM,False,5.2,city
Tambun Selatan,Kabupaten Bekasi,65.0,66.0,1400.0,Other,2,0,0,0,2,0,1,3,1,0,House Type 70,Furnished,2200.0,New,North,Groundwater,False,5.0,regency
Serpong,Tangerang Selatan,60.0,49.0,959.0,SHM,2,0,2,0,0,0,1,2,1,0,House Type 54,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,6.0,city
Balaraja,Kabupaten Tangerang,72.0,60.0,585.0,Other,1,0,1,0,2,0,1,2,1,0,House Type 60,Unfurnished,1900.0,Renovated,North,Groundwater,False,5.1,regency
Kebon Jeruk,Jakarta Barat,778.0,2100.0,30000.0,SHM,7,0,7,0,2,0,1,7,1,0,House Type >300,Semi Furnished,82500.0,Renovated,North,Groundwater,True,5.0,city
Cileungsi,Kabupaten Bogor,60.0,44.0,645.0,SHM,2,0,1,0,2,0,1,2,1,0,House Type 45,Unfurnished,2200.0,Renovated,South,Groundwater,False,6.0,regency
Solear,Kabupaten Tangerang,60.0,55.0,260.0,SHM,1,0,1,0,1,0,1,2,1,0,House Type 60,Unfurnished,1300.0,Well Maintained,North,PAM/PDAM,False,4.7,regency
Pondok Aren,Tangerang Selatan,115.0,200.0,1700.0,Other,4,0,0,0,0,0,2,5,1,0,House Type 200,Semi Furnished,2240.0,Renovated,South,Groundwater,False,4.5,city
Tanah Sareal,Kota Bogor,136.0,220.0,1590.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Tambun Selatan,Kabupaten Bekasi,65.0,66.0,1400.0,HGB,2,0,1,0,2,0,1,3,1,0,House Type 70,Furnished,2200.0,New,North,Groundwater,False,5.0,regency
Penjaringan,Jakarta Utara,184.0,300.0,6500.0,SHM,3,2,2,1,2,1,1,3,1,0,House Type 300,Furnished,3500.0,New,Northeast,Groundwater,False,7.5,city
Penjaringan,Jakarta Utara,144.0,300.0,7500.0,SHM,3,1,2,1,3,1,1,3,1,0,House Type 300,Semi Furnished,3500.0,Well Maintained,South,Groundwater,False,6.5,city
Sepatan,Kabupaten Tangerang,72.0,60.0,600.0,SHM,2,0,1,0,0,0,1,2,1,0,House Type 60,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,6.0,regency
Pondok Gede,Kota Bekasi,702.0,552.0,4750.0,HGB,3,0,2,0,0,1,1,4,1,0,House Type >300,Unfurnished,4000.0,Renovated,Northwest,Groundwater,False,5.4,city
Cakung,Jakarta Timur,90.0,180.0,1600.0,SHM,3,2,1,0,2.5,0,1,2,1,0,House Type 200,Unfurnished,2200.0,Renovated,West,Groundwater,False,4.5,city
Ciputat,Tangerang Selatan,179.0,157.0,1380.0,Other,2,0,2,0,2,0,1,2,1,0,House Type 200,Unfurnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Cakung,Jakarta Timur,112.0,100.0,1900.0,SHM,2,1,1,0,2,2,1,3,1,0,House Type 120,Semi Furnished,5500.0,Renovated,East,PAM/PDAM,False,6.0,city
Cakung,Jakarta Timur,90.0,135.0,1700.0,SHM,1,1,1,1,2,0,1,3,1,0,House Type 200,Semi Furnished,2200.0,Renovated,North,PAM/PDAM,False,4.0,city
Pesanggrahan,Jakarta Selatan,96.0,84.0,1800.0,SHM,2,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northeast,Groundwater,False,5.0,city
Ciracas,Jakarta Timur,126.0,180.0,1900.0,SHM,2,0,2,0,2,0,2,2,1,0,House Type 200,Semi Furnished,2200.0,Renovated,Northwest,PAM/PDAM,False,5.0,city
Cibinong,Kabupaten Bogor,810.0,36.0,657.0,SHM,1,0,1,0,0,0,1,1,1,0,House Type 36,Unfurnished,1140.0,Renovated,North,Groundwater,False,4.7,regency
Ciledug,Kota Tangerang,164.0,76.0,1500.0,Other,2,1,0,1,0,0,1,2,1,0,House Type 120,Unfurnished,1300.0,New,Northeast,Groundwater,True,4.0,city
Medan Satria,Kota Bekasi,72.0,28.0,590.0,SHM,1,0,1,0,1,0,1,2,1,0,House Type 36,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Beji,Depok,300.0,500.0,6500.0,SHM,11+,0,0,0,3,0,1,9+,1,1,House Type >300,Furnished,1300.0,Need Renovation,Northeast,Groundwater,False,5.5,city
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Well Maintained,Northwest,Groundwater,False,4.5,city
Ciledug,Kota Tangerang,164.0,76.0,1500.0,SHM,2,1,0,1,0,0,1,2,1,0,House Type 120,Unfurnished,1300.0,New,Northeast,Groundwater,True,4.0,city
Karawaci,Kota Tangerang,90.0,100.0,1100.0,SHM,3,0,0,0,2,0,1,3,1,0,House Type 120,Unfurnished,3300.0,Renovated,Northeast,Groundwater,False,4.0,city
Cinere,Depok,202.0,250.0,2500.0,SHM,3,1,0,1,2,1,1,3,1,0,House Type 300,Unfurnished,3500.0,Well Maintained,North,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,434.0,510.0,23500.0,SHM,6,1,2,1,1.5,2,1,5,1,0,House Type >300,Unfurnished,23000.0,New,Northeast,Groundwater,False,5.0,city
Kalideres,Jakarta Barat,300.0,500.0,9500.0,SHM,4,1,2,1,2,0,1,5,1,0,House Type >300,Furnished,7700.0,Well Maintained,North,Groundwater,False,6.6,city
Kelapa Gading,Jakarta Utara,102.0,120.0,2700.0,SHM,2,0,2,1,2,0,1,4,1,0,House Type 120,Unfurnished,2200.0,New,Northeast,Groundwater,False,5.0,city
Kebayoran Lama,Jakarta Selatan,85.0,166.0,4900.0,SHM,3,1,2,1,3,0,1,3,1,0,House Type 200,Unfurnished,4220.0,New,South,Groundwater,False,5.0,city
Pancoran,Jakarta Selatan,263.0,215.0,3900.0,SHM,2,0,2,0,1.5,2,1,4,1,0,House Type 300,Semi Furnished,4400.0,Renovated,Northeast,Groundwater,False,5.0,city
Pancoran,Jakarta Selatan,103.0,207.0,3300.0,SHM,4,1,1,1,3,1,1,4,1,0,House Type 300,Unfurnished,4400.0,New,Northeast,Groundwater,False,5.0,city
Kelapa Gading,Jakarta Utara,90.0,180.0,2700.0,SHM,2,0,2,1,2,0,1,4,1,0,House Type 200,Unfurnished,2200.0,New,Southwest,Groundwater,False,5.0,city
Pancoran,Jakarta Selatan,411.0,305.0,9000.0,SHM,4,1,2,1,1.5,2,1,4,1,0,House Type >300,Unfurnished,6340.0,Renovated,Northeast,Groundwater,False,10.0,city
Cilandak,Jakarta Selatan,110.0,220.0,4300.0,SHM,3,1,1,1,3,2,1,3,1,0,House Type 300,Unfurnished,4400.0,New,Northeast,Groundwater,False,5.0,city
Ciracas,Jakarta Timur,75.0,75.0,1100.0,SHM,2,0,1,0,2,1,1,3,1,0,House Type 120,Unfurnished,2240.0,Renovated,Northeast,Groundwater,False,5.4,city
Duren Sawit,Jakarta Timur,220.0,160.0,3600.0,SHM,2,1,1,1,2,2,1,3,1,0,House Type 200,Furnished,3780.0,Well Maintained,Northeast,Groundwater,False,5.0,city
Pancoran,Jakarta Selatan,150.0,80.0,2350.0,SHM,3,0,3,0,2,0,1,3,1,0,House Type 120,Unfurnished,1300.0,Need Renovation,East,Groundwater,False,5.0,city
Cikarang,Kabupaten Bekasi,60.0,50.0,400.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 54,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,regency
Cilandak,Jakarta Selatan,208.0,458.0,10500.0,SHM,7,3,2,0,3,3+,1,4,1,0,House Type >300,Unfurnished,11000.0,New,North,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,91.0,262.0,5000.0,SHM,3,1,2,1,3,0,1,3,1,0,House Type 300,Unfurnished,4400.0,New,Northeast,Groundwater,False,4.5,city
Serpong,Tangerang Selatan,200.0,300.0,5100.0,SHM,4,1,2,1,3,0,1,4,1,0,House Type 300,Unfurnished,5500.0,New,North,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,101.0,129.0,2550.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 200,Semi Furnished,4400.0,Well Maintained,East,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,300.0,323.0,8000.0,SHM,4,2,2,1,2,2,1,5,1,0,House Type >300,Semi Furnished,5500.0,Well Maintained,Southeast,Groundwater,False,6.5,city
Serpong,Tangerang Selatan,120.0,100.0,925.0,SHM,1,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,1320.0,Well Maintained,Northwest,Groundwater,False,6.0,city
Tanjung Priok,Jakarta Utara,108.0,200.0,4000.0,SHM,2,1,0,0,2,0,1,3,1,0,House Type 200,Unfurnished,3500.0,Renovated,Northwest,Groundwater,False,5.0,city
Serpong,Tangerang Selatan,136.0,235.0,6000.0,Other,3,1,2,1,2.5,0,1,4,1,0,House Type 300,Semi Furnished,4400.0,Renovated,Northeast,Groundwater,False,6.0,city
Cileungsi,Kabupaten Bogor,100.0,44.8,65.0,Other,1,0,0,0,0,0,1,2,1,0,House Type >300,Unfurnished,1300.0,Renovated,North,Groundwater,False,5.0,regency
Tebet,Jakarta Selatan,400.0,116.0,260.0,SHM,1,0,0,0,0,0,1,2,1,0,House Type >300,Unfurnished,1300.0,Renovated,North,Groundwater,False,5.0,city
Duren Sawit,Jakarta Timur,100.0,44.8,72.0,SHM,1,0,0,0,0,0,1,2,1,0,House Type >300,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Serpong,Tangerang Selatan,144.0,260.0,3600.0,Other,3,2,3,1,2,0,1,4,1,0,House Type 300,Unfurnished,3300.0,Renovated,South,Groundwater,False,4.0,city
Serpong Utara,Tangerang Selatan,132.0,150.0,3700.0,Other,2,1,2,1,0,0,1,4,1,0,House Type 200,Semi Furnished,5500.0,New,East,Groundwater,False,4.5,city
Serpong Utara,Tangerang Selatan,144.0,300.0,3950.0,SHM,3,1,2,1,2,0,1,4,1,0,House Type 300,Semi Furnished,3500.0,Renovated,North,Groundwater,False,5.0,city
Serpong Utara,Tangerang Selatan,190.0,220.0,3300.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 300,Semi Furnished,3500.0,New,North,Groundwater,True,4.5,city
Cilincing,Jakarta Utara,278.0,300.0,2250.0,SHM,2,1,2,0,0,0,1,6,1,0,House Type 300,Unfurnished,3300.0,Renovated,South,PAM/PDAM,False,5.0,city
Ciputat,Tangerang Selatan,84.0,160.0,1800.0,Other,2,0,2,0,2,0,1,3,1,0,House Type 200,Unfurnished,2200.0,Renovated,North,Groundwater,False,5.0,city
Ciledug,Kota Tangerang,207.0,207.0,2000.0,SHM,4,1,0,1,0,2,1,4,1,1,House Type 300,Unfurnished,4400.0,Renovated,North,PAM/PDAM,False,5.0,city
Pondok Aren,Tangerang Selatan,250.0,338.0,3200.0,Other,2,1,1,1,2,1,1,5,1,0,House Type >300,Semi Furnished,2200.0,New,Northeast,Groundwater,False,5.5,city
Ciledug,Kota Tangerang,400.0,200.0,3650.0,Other,2,0,0,0,1,0,1,2,1,0,House Type 200,Unfurnished,4400.0,New,Northeast,Groundwater,False,5.5,city
Pondok Aren,Tangerang Selatan,120.0,120.0,1750.0,Other,2,1,0,1,0,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northeast,Groundwater,False,4.0,city
Kebayoran Lama,Jakarta Selatan,257.0,350.0,12500.0,SHM,4,2,1,1,0,1,1,4,1,0,House Type >300,Unfurnished,5280.0,Renovated,Southeast,Groundwater,True,5.3,city
Ciputat,Tangerang Selatan,212.0,375.0,4750.0,Other,4,1,2,1,2,1,1,5,1,0,House Type >300,Semi Furnished,1300.0,New,North,Groundwater,False,12.5,city
Ciledug,Kota Tangerang,418.0,343.0,2140.0,SHM,2,0,0,0,0,0,1,4,1,0,House Type >300,Unfurnished,4000.0,Well Maintained,South,Groundwater,False,5.0,city
Kalideres,Jakarta Barat,180.0,120.0,385.0,SHM,1,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Ciputat Timur,Tangerang Selatan,80.0,160.0,1630.0,Other,3,1,0,1,2,0,1,3,1,0,House Type 200,Unfurnished,3500.0,New,East,Groundwater,False,4.2,city
Cileungsi,Kabupaten Bogor,60.0,30.0,59.0,HGB,1,0,1,0,0,0,1,2,1,0,House Type 36,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,regency
